company_name,broad_sector,FinancialHealthScore,SectorRankFinal,Rating
Info Edge (India) Ltd,Communication Services,64.38,1,B
Bharti Airtel Ltd,Communication Services,55.38,11,B
"Hero MotoCorp Ltd
",Consumer Discretionary,89.74,1,A
Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,85.05,7,A
Eicher Motors Ltd,Consumer Discretionary,84.17,8,A
Interglobe Aviation Ltd,Consumer Discretionary,84.01,9,A
Bajaj Auto Ltd,Consumer Discretionary,82.24,16,A
Nestle India Ltd,Consumer Staples,86.56,1,A
"Hindustan Unilever Ltd
",Consumer Staples,85.31,2,A
Britannia Industries Ltd,Consumer Staples,81.0,9,A
"ITC Ltd
",Consumer Staples,79.12,18,B+
Godrej Consumer Products Ltd,Consumer Staples,76.56,29,B+
Bharat Petroleum Corporation Ltd,Energy,82.55,1,A
Adani Power Ltd,Energy,81.92,2,A
"Indian Oil Corporation
",Energy,78.17,6,B+
Oil & Natural Gas Corpn Ltd,Energy,74.17,16,B+
GAIL (India) Ltd,Energy,73.17,20,B+
ICICI Lombard General Insurance Company Ltd,Financials,80.62,1,A
Bajaj Holdings & Investment Ltd,Financials,76.25,4,B+
Jio Financial Services Ltd,Financials,73.12,11,B+
Life Insurance Corporation of India,Financials,71.62,15,B+
Axis Bank Ltd,Financials,70.0,19,B
Sun Pharmaceuticals Industries Ltd,Healthcare,80.0,1,B+
Dr Reddys Laboratories Ltd,Healthcare,77.19,3,B+
Torrent Pharmaceuticals Ltd,Healthcare,72.5,12,B+
Divis Laboratories Ltd,Healthcare,71.56,13,B+
"Cipla Ltd
",Healthcare,68.5,20,B
Hindustan Aeronautics Ltd,Industrials,90.83,1,A+
Abbott India Ltd,Industrials,89.58,2,A
Bharat Electronics Ltd,Industrials,83.02,13,A
Larsen & Toubro Ltd,Industrials,78.96,23,B+
Siemens Ltd,Industrials,77.4,26,B+
HCL Technologies Ltd,Information Technology,83.5,1,A
LTIMindtree Ltd,Information Technology,80.62,3,A
Infosys Ltd,Information Technology,78.12,6,B+
Tata Consultancy Services Ltd,Information Technology,70.69,30,B+
Tech Mahindra Ltd,Information Technology,70.62,31,B+
Coal India Ltd,Materials,82.56,1,A
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,81.25,3,A
Pidilite Industries Ltd,Materials,81.0,4,A
Shree Cement Ltd,Materials,75.62,24,B+
JSW Steel Ltd,Materials,70.62,37,B+
Macrotech Developers Ltd,Real Estate,64.69,1,B
DLF Ltd,Real Estate,64.38,2,B
