OverallRank,company_name,broad_sector,FinancialHealthScore,Rating
1,Hindustan Aeronautics Ltd,Industrials,90.83,A+
2,"Hero MotoCorp Ltd
",Consumer Discretionary,89.74,A
3,Abbott India Ltd,Industrials,89.58,A
11,Nestle India Ltd,Consumer Staples,86.56,A
16,"Hindustan Unilever Ltd
",Consumer Staples,85.31,A
18,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,85.05,A
22,Eicher Motors Ltd,Consumer Discretionary,84.17,A
23,Interglobe Aviation Ltd,Consumer Discretionary,84.01,A
25,HCL Technologies Ltd,Information Technology,83.5,A
30,Bharat Electronics Ltd,Industrials,83.02,A
35,Coal India Ltd,Materials,82.56,A
36,Bharat Petroleum Corporation Ltd,Energy,82.55,A
39,Bajaj Auto Ltd,Consumer Discretionary,82.24,A
40,Trent Ltd,Consumer Discretionary,81.92,A
40,Adani Power Ltd,Energy,81.92,A
40,"Titan Company Ltd
",Consumer Discretionary,81.92,A
43,Bosch Ltd,Consumer Discretionary,81.61,A
43,Maruti Suzuki India Ltd,Consumer Discretionary,81.61,A
48,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,81.25,A
52,Pidilite Industries Ltd,Materials,81.0,A
