,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,asset_turnover,free_cash_flow_cr,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,financial_strength_score,roe_percentage,roce_percentage,book_value
net_profit_margin_pct,1.0,-0.001314519849891218,-0.0063896627726755615,-0.03437338174478417,-0.020468983680832796,-0.0101131834472328,0.04364941803243935,0.044168427318004314,0.04009494240521616,-0.015243529220925115,-0.07122779090239022,-0.005239249250838632,0.18837865848216956,-0.035410379553143696,-0.03710736225686584,0.488967001818894
operating_profit_margin_pct,-0.001314519849891218,1.0,0.0027762719127728563,-0.05478256993866359,0.015261812581321565,-0.06965709073021033,-0.048437932944287755,-0.052501159538611245,-0.03728930554098837,0.0019748929419423746,-0.0076325573114465195,-0.01993886901704784,0.18338130672026406,0.07510227872673508,0.11280242733096676,-0.008247914861532183
return_on_equity_pct,-0.0063896627726755615,0.0027762719127728563,1.0,0.004074167223586636,0.8368907765248562,0.003228089571956519,0.028890429625456363,0.03197313773014652,0.023311446224712814,0.01624992106344738,0.04190608423678312,0.06218849437656997,0.043837919025526306,0.04594960969559213,0.05896248031522199,-0.05266594814079087
debt_to_equity,-0.03437338174478417,-0.05478256993866359,0.004074167223586636,1.0,-0.02021309098707598,-0.003995820468803627,-0.03252589214797477,-0.03318058620461449,-0.028619762910385822,-0.028803438687119792,-0.008205974461489777,0.009040790049166551,-0.18696777093471306,0.0841317049394514,0.0042755070360621155,-0.05896067914521542
asset_turnover,-0.020468983680832796,0.015261812581321565,0.8368907765248562,-0.02021309098707598,1.0,0.006053601295072165,0.05595823479281525,0.06043759732149558,0.023478835264362046,0.022122423324853334,0.04469895644882,0.060260632531459836,0.0792607352821262,0.06049963557515893,0.06943885579732548,-0.05639464377973344
free_cash_flow_cr,-0.0101131834472328,-0.06965709073021033,0.003228089571956519,-0.003995820468803627,0.006053601295072165,1.0,-0.1059489480560753,-0.09503644448436141,0.008238831063520673,0.03218093475897324,-0.03594751359061455,0.059710098311713346,0.10817518977640223,0.06994458445500228,0.11860256294770255,-0.0381813709052278
market_cap_crore,0.04364941803243935,-0.048437932944287755,0.028890429625456363,-0.03252589214797477,0.05595823479281525,-0.1059489480560753,1.0,0.9825474581483458,-0.10624101802113317,-0.02121214960061357,0.05083732207231659,-0.0017178937856215594,-0.00918708388395653,-0.011032732503094328,-0.016504980577694475,0.16569290583058205
enterprise_value_crore,0.044168427318004314,-0.052501159538611245,0.03197313773014652,-0.03318058620461449,0.06043759732149558,-0.09503644448436141,0.9825474581483458,1.0,-0.09735791661150708,-0.011078793591405744,0.04970954210090118,0.010660855399275783,-0.010283362407583692,-0.01834826129645155,-0.021803049383689252,0.1533754560494548
pe_ratio,0.04009494240521616,-0.03728930554098837,0.023311446224712814,-0.028619762910385822,0.023478835264362046,0.008238831063520673,-0.10624101802113317,-0.09735791661150708,1.0,-0.031087375070785933,0.06895443551660602,-0.03708476972222605,0.04872655468802297,0.03201462660361773,0.037526179645608164,-0.011814679520608285
pb_ratio,-0.015243529220925115,0.0019748929419423746,0.01624992106344738,-0.028803438687119792,0.022122423324853334,0.03218093475897324,-0.02121214960061357,-0.011078793591405744,-0.031087375070785933,1.0,-0.04932547611157811,0.07750569622486227,-0.029438481689820502,-0.054147514581515586,-0.007369471540838759,-0.0005883826157206959
ev_ebitda,-0.07122779090239022,-0.0076325573114465195,0.04190608423678312,-0.008205974461489777,0.04469895644882,-0.03594751359061455,0.05083732207231659,0.04970954210090118,0.06895443551660602,-0.04932547611157811,1.0,-0.006559028568913644,0.01997503840496493,-0.042701309327133674,-0.06122098474601315,-0.050813127316246084
dividend_yield_pct,-0.005239249250838632,-0.01993886901704784,0.06218849437656997,0.009040790049166551,0.060260632531459836,0.059710098311713346,-0.0017178937856215594,0.010660855399275783,-0.03708476972222605,0.07750569622486227,-0.006559028568913644,1.0,-0.038863021233706906,0.005356409815553992,-0.031237343767765793,-0.012462416153860323
financial_strength_score,0.18837865848216956,0.18338130672026406,0.043837919025526306,-0.18696777093471306,0.0792607352821262,0.10817518977640223,-0.00918708388395653,-0.010283362407583692,0.04872655468802297,-0.029438481689820502,0.01997503840496493,-0.038863021233706906,1.0,0.24697176650011324,0.3871006382637466,0.15812281815750973
roe_percentage,-0.035410379553143696,0.07510227872673508,0.04594960969559213,0.0841317049394514,0.06049963557515893,0.06994458445500228,-0.011032732503094328,-0.01834826129645155,0.03201462660361773,-0.054147514581515586,-0.042701309327133674,0.005356409815553992,0.24697176650011324,1.0,0.8196974808826245,-0.08942545773477745
roce_percentage,-0.03710736225686584,0.11280242733096676,0.05896248031522199,0.0042755070360621155,0.06943885579732548,0.11860256294770255,-0.016504980577694475,-0.021803049383689252,0.037526179645608164,-0.007369471540838759,-0.06122098474601315,-0.031237343767765793,0.3871006382637466,0.8196974808826245,1.0,-0.05260820414686699
book_value,0.488967001818894,-0.008247914861532183,-0.05266594814079087,-0.05896067914521542,-0.05639464377973344,-0.0381813709052278,0.16569290583058205,0.1533754560494548,-0.011814679520608285,-0.0005883826157206959,-0.050813127316246084,-0.012462416153860323,0.15812281815750973,-0.08942545773477745,-0.05260820414686699,1.0
