,count,mean,std,min,25%,50%,75%,max,Missing,Skewness,Kurtosis
net_profit_margin_pct,6954.0,18.911225194132875,68.31199610454895,-42.15,5.220000000000001,11.25,17.25,947.51,18,10.066646798045399,108.1772779304262
operating_profit_margin_pct,6594.0,354.3648771610555,5562.363780884639,-50971.0,13.0,21.0,41.0,47971.0,378,-1.2731379051385376,36.00006336769243
return_on_equity_pct,6960.0,155.77220689655172,1156.4395943579495,-1094.15,10.6675,16.965,25.13,17886.36,12,11.401296010404216,144.0477278644845
debt_to_equity,6960.0,2.697756551724138,12.754324133870872,0.0,0.04615,0.5716000000000001,2.4829,332.5938,12,21.54296855803568,511.4203136203269
asset_turnover,6954.0,4.188294219154444,22.1921856586057,0.0004,0.2397,0.6997,1.1776,353.9615,18,9.173403241286897,106.51375917167404
free_cash_flow_cr,6948.0,705.5898100172711,16272.455718500061,-115427.0,-740.0,724.0,3622.0,229049.0,24,0.915044145415359,41.47589842879344
market_cap_crore,6972.0,992656.9754575443,695398.2614370218,33360.23,378605.83,901096.13,1446057.42,4173085.48,0,0.8746464542291212,0.677602017058911
enterprise_value_crore,6972.0,1095634.6582874355,772180.2797863545,33277.06,436528.5925,976938.14,1586504.61,3837414.39,0,0.8542687675318366,0.31475791466607594
pe_ratio,6972.0,43.85874928284567,21.338551544672313,8.14,25.37,42.51,62.877500000000005,79.91,0,0.06389594728781214,-1.2422426910313424
pb_ratio,6972.0,7.624862306368331,4.070062647050158,0.51,4.24,7.77,10.91,14.98,0,-0.01768867024927012,-1.1239403791530238
ev_ebitda,6972.0,22.676919104991395,10.05518715957079,5.01,13.85,23.07,31.44,39.72,0,-0.035915396116212576,-1.20602248727731
dividend_yield_pct,6972.0,2.2642670682730923,1.3282318402156408,0.01,1.08,2.27,3.39,4.5,0,-0.01769941062217017,-1.2566255525459709
financial_strength_score,6960.0,8.208620689655172,2.162831284762802,3.0,7.0,8.0,10.0,12.0,12,-0.39758898614265004,-0.3898233119189918
